"","x"
"1","ABHD12"
"2","AC025750.5"
"3","AEN"
"4","ALDH9A1"
"5","ANGPTL2"
"6","ANKRD39"
"7","ATM"
"8","ATP2C1"
"9","C16orf62"
"10","C6orf89"
"11","CCDC43"
"12","CFL2"
"13","CLCN6"
"14","CLIC1"
"15","CTB.79E8.3"
"16","DCTN4"
"17","DNAJA2"
"18","EBF4"
"19","EIF1AXP1"
"20","ETNK1"
"21","FAM179B"
"22","FAM20B"
"23","FAM63B"
"24","GALC"
"25","GGA1"
"26","GPATCH2L"
"27","GPR173"
"28","HDAC6"
"29","IFI44"
"30","INTS1"
"31","ITGB8"
"32","LAMB2"
"33","LBR"
"34","LINC01420"
"35","LITAF"
"36","LPGAT1"
"37","MAN2B2"
"38","MCMBP"
"39","METRNL"
"40","MIR22HG"
"41","MIR99AHG"
"42","MNT"
"43","MORN2"
"44","MRPL40"
"45","MRPS2"
"46","MSN"
"47","NCKAP5"
"48","NDUFV2P1"
"49","NPAS3"
"50","PDLIM2"
"51","PDPK1"
"52","PLA2G15"
"53","PLEKHM2"
"54","PLXNB2"
"55","PLXND1"
"56","PRC1"
"57","PUS1"
"58","RALGPS2"
"59","RNF146"
"60","RNF19B"
"61","RP11.115A15.2"
"62","RP11.366M4.17"
"63","RP11.57C19.2"
"64","RP11.627K11.1"
"65","RPSAP74"
"66","SDCCAG8"
"67","SETD8"
"68","SLC48A1"
"69","SNAP29"
"70","SPHK2"
"71","SRM"
"72","SRPRB"
"73","SS18L2"
"74","STAG2"
"75","STX6"
"76","SYP"
"77","TGIF1"
"78","TMBIM4"
"79","TOB1"
"80","TRIP6"
"81","TTC28"
"82","UBXN6"
"83","UCK1"
"84","UNC50"
"85","VAMP5"
"86","WBP11"
"87","YPEL1"
"88","ZNF146"
"89","ZNF184"
"90","ZNF414"
"91","ZNF528.AS1"
"92","ZNFX1"
